"","clusterNumber","ANS01.PFC.1A","ANS01.PFC.2A","ANS01.PFC.3A","ANS01.PFC.1B","ANS01.PFC.2B","ANS01.PFC.3B","ANS01.PFC.1C","ANS01.PFC.2C","ANS01.PFC.3C"
"GM45871",82,5.186409035,9.147765622,11.47067436,11.08292544,6.531674284,8.421326687,3.367392747,2.189520416,1.098895265
"COPZ2",82,46.19605727,46.59674555,44.85469117,52.25509632,53.03934818,50.40080379,36.76237289,40.5256623,54.10177008
"GM14399",82,1.106635693,4.197795978,4.165184876,5.763316144,5.793654805,4.761603319,4.720228914,2.236331862,2.660577262
"SP140",82,10.26622517,8.933084426,12.13108791,14.48955373,15.73175914,16.15814928,3.694785559,5.340496364,13.75262307
"2500004C02RIK",82,93.33401286,99.48330594,102.5384102,120.6013161,117.7568076,124.0678329,81.66579699,75.40519523,113.8865344
"ZFP119A",82,66.78407596,71.97737982,63.74277085,80.52382005,62.84816974,61.04808073,50.7150916,49.87792714,77.91632515
"GM35755",82,3.332531392,6.272512284,5.204466958,1.154850841,4.83082824,3.582698953,8.455324239,4.482530073,3.538214906
"CCDC96",82,25.36186453,32.59169564,28.16651037,32.26279734,25.08775513,35.29035764,21.90197698,14.99360844,34.53805071
"GM5977",82,14.25157669,15.96945716,14.56411675,18.37044444,13.50188066,12.88312373,20.14148711,12.69963795,11.522845
"KIF11",82,36.41715284,36.35934697,42.51878094,51.57718061,24.02971005,31.91075685,18.78117127,31.27034116,39.59891023
"UBE2D1",82,642.9732863,652.1413482,702.7760573,724.2802878,598.1172484,664.3500584,548.8394695,616.6101967,611.5788708
"GM14634",82,67.14184177,78.13622698,49.95314725,72.35996266,70.51852417,69.57750452,79.10687018,69.40364635,71.95961706
"GM8281",82,68.64242321,96.45960581,53.48715804,50.15640299,55.65403899,55.78477139,40.7262517,98.9661554,88.03073683
"RHOH",82,11.75186294,15.11977832,17.77014686,21.59144885,11.91922087,17.80845338,10.20405235,13.78080479,17.54078986
"DENND1B",82,267.5068277,273.8090518,294.3101717,294.4040852,253.4437237,289.8868101,241.6842418,268.3300524,288.5037567
"BIRC5",82,7.258322458,15.65417754,16.68846245,21.99905903,6.854505689,22.53520699,8.651687899,17.79182956,17.59272093
"ZFP217",82,41.98872642,55.89059963,62.44828108,60.13589618,39.54882803,59.89866242,35.19823384,55.6161033,53.69495127
